song,link,lyrics
Hollywood's Bleeding,https://genius.com/Post-malone-hollywoods-bleeding-lyrics,"['[Intro]', ""Hollywood's bleeding, vampires feedin'"", 'Darkness turns to dust', ""Everyone's gone, but no one's leavin'"", 'Nobody left but us', ""Tryna\u2005chase\u2005a feelin', but\u2005we'll never feel it"", ""Ridin' on the\u2005last train home"", ""Dyin' in our sleep, we're livin' out a dream"", 'We only make it out alone', '', '[Chorus]', ""I just keep on hopin' that you call me"", ""You say you wanna see me, but you can't right now"", 'You never took the time to get to know me', ""Was scared of losin' somethin' that we never found"", ""We're running out of reasons, but we can't let go"", 'Yeah, Hollywood is bleeding, but we call it home', '', '[Verse]', ""Outside, the winter sky turnin' grey"", ""City up in smoke, it's only ash when it rains"", 'Howl at the moon and go to sleep in the day', ""Love for everybody 'til the drugs fade away"", ""In the mornin', blocking out the sun with the shades"", 'She gotta check her pulse and tell herself that she okay', 'It seem like dying young is an honor', ""But who'd be at my funeral? I wonder"", 'I go out, and all they eyes on me', 'I show out, do you like what you see?', ""And now they closin' in on me"", ""Let 'em sharpen all they teeth"", 'This is more than I can handle', ""Blood in my Lambo'"", ""Wish I could go, oh, I'm losin' ho-ope"", 'I light a candle, some Palo Santo', 'For all these demons, wish I could just go on', '', '[Chorus]', ""I just keep on hopin' that you call me"", ""You say you wanna see me, but you can't right now"", 'You never took the time to get to know me', ""Was scared of losin' somethin' that we never found"", ""We're running out of reasons, but we can't let go"", 'Yeah, Hollywood is bleeding, but we call it home']"
Saint-Tropez,https://genius.com/Post-malone-saint-tropez-lyrics,"['[Intro]', 'Ooh, yeah, yeah, hey', '', '[Chorus]', 'Such a long time (Wow)', ""I've been waitin', I've been waitin' for a\u2005long\u2005time (Yeah)"", 'Such a\u2005long time', ""I've been waitin', I've been\u2005waitin' for a long time (Yeah)"", 'Such a long time (Ooh)', '', '[Verse 1]', ""Ooh, this shit bliss, I'm so rich (Turnt as shit, ooh)"", 'Abs like Abercrombie Fitch (Damn, ooh)', 'Mille, on my (Whoa, wrist, wrist)', 'Versace boxers on my dick (On my dick, damn)', ""Bud Light runnin' through my piss (Ooh)"", ""On a yacht, 50 meters, it's offish (It's official)"", '50 carats on my fist (On my fist)', 'The roof go down when I hit switch (Ooh, bitch)', 'I money ball like Bradley Pitt (Bradley Pitt, ayy)', 'I worked so hard for all this shit (All this shit)', ""Pumpin' out classics (Ooh)"", ""In the Batmobile, goin' bat shit"", '', '[Chorus]', 'Such a long time (Damn)', ""I've been waitin', I've been waitin' for a long time (Such a long time)"", 'Such a long time (Such a long time)', ""I've been waitin', I've been waitin' for a long time (For a long time)"", 'Such a long time', '', '[Verse 2]', ""I'm in Saint-Tropez, I had to check wrist (Wow)"", 'I just bought my girl a new necklace (A new necklace)', 'One, two, three, four, five, six (Five, six)', ""I'll take 'em all, don't matter what the price is (What the price is)"", ""I said I'm sorry mama for my vices (For my vices)"", ""You'll never understand what my life is (My life is)"", 'One, two, three, four, five, six (Damn)', ""Shit, I'm checking off my bucket list (My bucket list)"", ""You try to give advice, I don't need it"", ""I've been doin' what I want since fetus"", 'What you call a holiday (Ooh), I call another day (Yeah)', ""And I ain't ever stoppin', no apologies"", '', '[Chorus]', 'Such a long time (Such a long time)', ""I've been waitin', I've been waitin' for a long time (Such a long time)"", 'Such a long time (Such a long time)', ""I've been waitin', I've been waitin' for a long time (A long time)"", 'Such a long time', '', '[Outro]', ""I'm in Saint-Tropez, I had to check wrist""]"
Enemies (Ft.DaBaby),https://genius.com/Post-malone-enemies-lyrics,"['[Chorus: Post Malone]', 'Used to have friends, now I got enemies (Ooh)', ""Used to keep 'em close, now they\u2005dead\u2005to me (Damn)"", 'Used\u2005to have friends, now I got\u2005enemies (Ooh)', ""Enemies, yeah, it's so sad"", '', '[Verse 1: Post Malone]', 'They said I would never get this far, ah, ah', ""Think that we don't see who you are, are, are?"", ""Laughin' to the bank like ha, ha, ha"", ""Guess that I'm just talkin' too much blah, blah, blah (Shut the fuck up)"", ""So, where did y'all go? (Ooh)"", ""When I was shit broke, couldn't even buy smokes"", 'Now your mama needs tickets to my stadium show (Stadium show)', 'She love it when she hear me on the radio, oh', ""I know it's hard to swallow your pride"", ""Sorry that you can't get over me (Over me)"", ""Now you're out my life, I'm so relieved, I"", '', '[Chorus: Post Malone]', 'Used to have friends, now I got enemies (Damn)', ""Used to keep 'em close, now they dead to me (Ooh)"", 'Money tend to show all they tendencies (Damn)', ""Enemies, yeah, it's so sad"", '', '[Post-Chorus: Post Malone]', 'Sometimes, every time, they let me down (They let me down)', 'Sometimes, every time, they let me down (They let me down)', 'Used to have friends, now I got enemies', ""Enemies, yeah, it's so sad"", '', '[Verse 2: DaBaby]', ""Close to my enemies (Let's go)"", 'I need better energy (Huh?)', ""When I told you fuck you, you thought I was playin', huh?"", '(Yeah, yeah) But I meant the shit literally', 'She want to vibe but I told her fuck that (Nope)', 'She looking at me like she surprised', ""They're packin' the post and I'm home alone"", 'When the box hit the door, they go for 35', 'I try to put on for my partners, they turn into enemies right before a nigga eye', ""You reach for a shake, I'ma hold out a fist"", 'Giving a nigga a quarter pound without the fries', 'I just went double platinum with no features', ""Just to show a nigga I don't really need him"", 'Pass a man a plate and he can make it shake', ""It's guaranteed he'll fold and bite the hand that feed him"", ""And I know you think that I ain't see it"", ""And I know you bitch ain't got a car"", ""Don't make me go and buy a bitch a lil' Prius"", 'Fuck on the camera, we can call it even', ""Friends are like the autumn, every year they leavin'"", ""And I'ma rake 'em in a pile, throw 'em in a bag"", ""Tie them bitches up and leave 'em"", ""'Cause most of these niggas are deceiving"", 'And I (Ooh)', '', '[Chorus: Post Malone]', 'Used to have friends, now I got enemies (Damn)', ""Used to keep 'em close, now they dead to me (Ooh)"", 'Money tend to show all they tendencies (Damn)', ""Enemies, yeah, it's so sad"", '', '[Post-Chorus: Post Malone]', 'Sometimes, every time, they let me down (They let me down)', 'Sometimes, every time, they let me down (They let me down)', 'Used to have friends, now I got enemies', ""Enemies, yeah, it's so sad"", '', '[Bridge: Post Malone]', ""It's too late to turn this shit around (It's too late)"", 'Only held me down when you wanted me to drown', ""It's too late to turn this shit around (It's too late)"", ""So don't try and tell me that you're happy for me now"", '', '[Chorus: Post Malone]', 'Used to have friends, now I got enemies', ""Used to keep 'em close, now they dead to me (Dead to me)"", 'Money tend to show all they tendencies (Tendencies)', ""Enemies, yeah, it's so sad"", '', '[Post-Chorus: Post Malone]', 'Sometimes, every time, they let me down (They let me down)', 'Sometimes, every time, they let me down (They let me down)', 'Used to have friends, now I got enemies', ""Enemies, yeah, it's so sad"", '', '[Outro: Post Malone]', ""Ooh, it's too late"", ""It's too late""]"
Allergic,https://genius.com/Post-malone-allergic-lyrics,"['[Verse 1]', 'Wasted on Sunday', 'Erase you on Monday', 'Allergic, allergic', 'Gave in by Friday', 'Went straight back to sideways', 'Allergic, allergic', '', '[Pre-Chorus]', 'I\u2005took\u2005your pills and\u2005your drugs just to feel something\u2005else', ""'Cause I can't feel you no more"", '', '[Chorus]', 'So sad, but true', ""You're friends with all my demons"", 'The only one that sees them', 'Too bad for you', 'So sad, but true', 'Gave a hundred million reasons', ""But why can't you believe them?"", 'Too bad for you', '', '[Verse 2]', 'Yeah, we fight and we fuck until we open the cuts', ""And now we're soberin' up but never sober enough"", 'Allergic, allergic', ""Instead of holdin' me down, you're only holding me up"", ""It shouldn't be so hard, this is impossible love"", 'Allergic, allergic', '', '[Pre-Chorus]', 'I took your pills and your drugs just to feel something else', ""'Cause I can't feel you no more"", '', '[Chorus]', 'So sad, but true', ""You're friends with all my demons"", 'The only one that sees them', 'Too bad for you', 'So sad, but true', 'Gave a hundred million reasons', ""But why can't you believe them?"", 'Too bad for you', '', '[Outro]', 'So sad, but true', 'Gave a hundred million reasons', ""But why can't you believe them?"", 'Too bad for you']"
A Thousand Bad Times,https://genius.com/Post-malone-a-thousand-bad-times-lyrics,"['[Intro]', 'Yeah, oh, whoa, ooh', 'Yeah, yeah', '', '[Verse 1]', 'Said you needed a ride, but you wanted my car', ""Without that\u2005face,\u2005girl, you wouldn't\u2005get far"", 'I really like you, despite\u2005who you are, oh (Who you are)', ""You see me on TV, you know I'm a star"", ""You say you don't know me, but I know that's false"", ""I'll pay the price, girl, whatever that cost, oh (What it cost)"", '', '[Pre-Chorus]', 'You make my life so hard', ""But that's what gets me off"", '', '[Chorus]', 'I had a thousand bad times', ""So what's another time to me? (What's that to me, yeah)"", 'You try to burn my house down', ""But what's another house to me? (What's that to me, yeah)"", ""'Cause I can take anything that you give me (What you give me)"", ""It's gonna take a lot more to kill me, bitch"", 'So thank you for the grave (Yeah)', 'I needed me a place to sleep (Place to sleep)', '', '[Verse 2]', ""And I don't wanna meet your mama (No)"", 'She prolly crazier than you (She prolly crazier than you)', ""I'm gonna need some thicker armor (Armor)"", 'To spend another night with you (And on and on and on)', 'Baby, I know just what to do', ""Every time you fuck me over, I'll come back to you"", ""Baby, I don't want to know the truth (Know the truth)"", 'I ignore them when they tell me all the shit you do (Shit you do)', 'I always get my heart broke like I needed the practice (Needed)', ""Foot on my throat 'til my world is collapsin' (Damn)"", ""But this what I chose, it's the law of attraction, yeah (Attraction)"", '(And on and on and on)', '', '[Pre-Chorus]', 'You make my life so hard (So hard, so hard)', ""But that's what gets me off"", '', '[Chorus]', 'I had a thousand bad times', ""So what's another time to me? (So what's that to me, yeah)"", 'You try to burn my house down', ""But what's another house to me? (So what's that to me, yeah)"", ""'Cause I can take anything that you give me (What you give me)"", ""It's gonna take a lot more to kill me, bitch (Kill me)"", 'So thank you for the grave (Yeah)', 'I needed me a place to sleep (Place to sleep)', '', '[Bridge]', 'I should get out, but I still want more', ""I should get out, what am I waitin' for?"", ""It's all the same to me, it's all a game to me"", ""It's all the same to me, it's all the same"", '', '[Chorus]', 'I had a thousand bad times', ""So what's another time to me? (What's that to me)"", 'You try to burn my house down', ""But what's another house to me? (What's that to me)"", ""'Cause I can take anything that you give me (What you give me)"", ""It's gonna take a lot more to kill me, bitch (Kill me)"", 'So thank you for the grave (Yeah)', 'I needed me a place to sleep (Place to sleep)', 'We go there, oh']"
Circles,https://genius.com/Post-malone-circles-lyrics,"['[Intro]', 'Oh, oh, oh', 'Oh,\u200a oh, oh', 'Oh,\u200a oh, oh, oh, oh', '', '[Verse 1]', ""We couldn't turn around 'til we were upside down"", ""I'll be the bad guy now, but know I ain't too proud"", ""I\u200a couldn't be there even when I tried"", ""You\u200a don't believe it, we do this every time"", '', '[Chorus]', 'Seasons change and our love went cold', ""Feed\u200a the flame 'cause we can't let go"", ""Run away, but we're running in circles"", 'Run away, run away', 'I dare you to do something', ""I'm\u200a waiting on you again, so I don't take the blame"", ""Run away, but we're running in circles"", 'Run away, run away, run away', '', '[Verse 2]', ""Let go, I got a feeling that it's time to let go"", 'I said so, I knew that this was doomed from the get-go', 'You thought that it was special, special', 'But it was just the sex though, the sex though', 'And I still hear the echoes (The echoes)', ""I got a feeling that it's time to let it go, let it go"", '', '[Chorus]', 'Seasons change and our love went cold', ""Feed the flame 'cause we can't let go"", ""Run away, but we're running in circles"", 'Run away, run away', 'I dare you to do something', ""I'm waiting on you again, so I don't take the blame"", ""Run away, but we're running in circles"", 'Run away, run away, run away', '', '[Bridge]', ""Maybe you don't understand what I'm going through"", ""It's only me, what you got to lose?"", 'Make up your mind, tell me, what are you gonna do?', ""It's only me, let it go"", '', '[Chorus]', 'Seasons change and our love went cold', ""Feed the flame 'cause we can't let go"", ""Run away, but we're running in circles"", 'Run away, run away', 'I dare you to do something', ""I'm waiting on you again, so I don't take the blame"", ""Run away, but we're running in circles"", 'Run away, run away, run away']"
Die For Me (Ft.Future & Halsey),https://genius.com/Post-malone-die-for-me-lyrics,"['[Intro: Future & Post Malone]', 'Oh yeah, oh yeah, oh yeah', ""Yeah, you'd die for me"", ""Said you'd die, said you'd die"", 'But\u2005you\u2005lied, you lied\u2005to me', '', '[Chorus: Post Malone]', ""Said you'd take a bullet,\u2005told me you would die for me"", ""I had a really bad feeling you'd been lying to me"", 'We were on the low, but you were getting high with me', ""When it's past 11, that's a different side I see"", ""Said you'd die for me, you'd die for me, you'd die for me"", 'But you lied to me, you lied to me, you lied to me', ""Said you'd die for me, you'd die for me, you'd die for me"", 'But you lied to me, you lied to me, you lied to me', '', '[Verse 1: Post Malone]', 'It was love at first sight, felt like you were chosen (Oh)', ""But that blood in your veins, yeah, I know it's frozen (It's so cold)"", 'Got no patience no more (No)', ""Been waitin' too long (Yeah)"", 'You hid that shit away and I was the last one to know, bitch (Ayy)', ""I heard you comin' in, I was lyin' there awake"", ""Didn't know that it was you, got the gun right out the safe (Damn)"", 'Remember when you got my ass arrested (Wow)', 'At least when I was in jail, I got some rest in (Yeah)', '', '[Pre-Chorus: Post Malone]', 'Ooh, I surrender (Ayy), time to forget ya (Ayy)', ""I'm too tired to forgive ya (Ayy), it's too hard on my liver (Ayy)"", 'And you know (Ayy) it’s all (Ayy) over now', 'All your friends (Ayy), you know (Ayy) they sold you out', '', '[Chorus: Post Malone & Future]', ""Said you'd take a bullet, told me you would die for me (Die for me)"", ""I had a really bad feeling you'd been lying to me (Lying to me)"", 'We were on the low, but you were getting high with me (High with me)', ""When it's past 11, that's a different side I see (Side I see)"", ""Said you'd die for me, you'd die for me, you'd die for me (Die, die, die)"", 'But you lied to me, you lied to me, you lied to me (Lie, lie, lie)', ""Said you'd die for me, you'd die for me, you'd die for me (Die, die, die)"", 'But you lied to me, you lied to me, you lied to me, yeah (You lied, yeah)', '', '[Verse 2: Future]', 'It was a VIP, happened to be one of my best nights', '9 AM, I came from out the club, it was daylight (Daylight)', 'Got a bad girl, I was treating her too nice\xa0(I was treating her too nice)', ""Caught you being vulnerable, that ain't what I need (That ain't what I need)"", 'You just sold your soul, girl, quit crying (Sold your soul)', 'Your passport, it looks like you lying (Know you cold)', ""You broken down by your past, don't deny it (You know I know)"", 'Your ex called, you was vulnerable, you flying, nah (Flying)', ""Wasn't on the best of terms, girl, I was trying (I was trying on ya)"", 'I did everything to reach out to you (I was reaching out)', 'Said you never had me caught up in no\xa0drama (No drama)', 'I done ran into my karma (I done ran)', '', '[Chorus: Future]', ""Said you'd take a bullet, told me you would die for me (That you would die)"", ""I had a really bad feeling you'd been lying to me (You'd been lying)"", 'We been on the low, but you been getting high with me (You was high)', ""When it's past 11, that's a different side I see (A different side)"", ""Said you'd die for me, you'd die for me, you'd die for me (Said you'd die, you said you'd die)"", ""But you lied to me, you lied to me, you lied to me (Now you're lying)"", ""Said you'd die for me, you'd die for me, you'd die for me (Oh yeah, oh yeah, oh yeah)"", 'But you lied to me, you lied to me, you lied to me', '', '[Verse 3: Halsey]', ""Settle down, I'll spell it out, it's simple enough"", 'I came around, I figured out, should follow my gut', ""I don't play anymore, I went through your phone"", 'And called the girls in your DMs and took all them home', ""And I know it's been a while since the last time you heard from me"", ""Grew into a savage and that's why they gave this verse to me"", ""Turns out it shows 'cause they turn out at shows"", 'I sold 15 million copies of a break-up note', 'Brought some strangers in our beds', 'And now you lost your right to privacy', 'Spilling all our secrets', ""When you thought they'd probably die with me"", 'Know you fucking love it on the low', ""And you don't have to say I'm crazy"", ""'Cause I know nothing's changed though"", '', '[Chorus: Post Malone & Halsey, Halsey]', ""Said you'd take a bullet, told me you would die for me"", ""(You'd die, you'd die, you'd die)"", ""I had a really bad feeling you'd been lying to me"", '(But you lied, you lied, you lied)', 'We were on the low, but you were getting high with me', ""(You'd die, you'd die, you'd die)"", ""When it's past 11, that's a different side I see"", '(But you lied, you lied, you lied)', ""Said you'd die for me, you'd die for me, you'd die for me"", ""(You'd die, you'd die, you'd die)"", 'But you lied to me, you lied to me, you lied to me', '(But you lied, you lied, you lied)', ""Said you'd die for me, you'd die for me, you'd die for me"", ""(You'd die, you'd die, you'd die)"", 'But you lied to me, you lied to me, you lied to me', '(But you lied, you lied, you lied)']"
